Module,Register Address,Register Name,Access,Reset Value,Bit Field,Field Name,Description,Notes
ubwc_dec_apb_reg_blk_v2,0x0000,VERSION,RO,Recommended:0x00020000,31:00:00,version,Version number,Recommended to increment from v1 to v2
ubwc_dec_apb_reg_blk_v2,0x0004,DATE,RO,Filled at implementation,31:00:00,date,Date code,Recommended to keep the current DATE register semantics
ubwc_dec_apb_reg_blk_v2,0x0008,CTRL,RW/W1P,0x00000000,0,start,Start decoding the current frame,Recommended as W1P
ubwc_dec_apb_reg_blk_v2,0x0008,CTRL,RW/W1P,0x00000000,1,clr_status,Clear sticky status bits,Recommended as W1P
ubwc_dec_apb_reg_blk_v2,0x0008,CTRL,RW/W1P,0x00000000,2,soft_reset,Wrapper soft-reset request,Recommended as W1P or self-clearing
ubwc_dec_apb_reg_blk_v2,0x0008,CTRL,RW/W1P,0x00000000,7:03,base_format,Metadata/base format configuration,Replaces META_CFG0[8:4] in v1
ubwc_dec_apb_reg_blk_v2,0x000C,STATUS,RO,dynamic,0,frame_active,Current frame is active,Merged from v1 STATUS0[0]
ubwc_dec_apb_reg_blk_v2,0x000C,STATUS,RO,dynamic,1,meta_busy,Metadata read stage busy,Merged from v1 STATUS0[1]
ubwc_dec_apb_reg_blk_v2,0x000C,STATUS,RO,dynamic,2,tile_busy,Tile read stage busy,Merged from v1 STATUS0[2]
ubwc_dec_apb_reg_blk_v2,0x000C,STATUS,RO,dynamic,3,vivo_busy,VIVO decode stage busy,Merged from v1 STATUS0[3]
ubwc_dec_apb_reg_blk_v2,0x000C,STATUS,RO,dynamic,4,otf_busy,OTF output stage busy,Merged from v1 STATUS0[4]
ubwc_dec_apb_reg_blk_v2,0x000C,STATUS,RO,dynamic,5,frame_done,Full-frame completion sticky flag,Recommended as the primary software polling bit
ubwc_dec_apb_reg_blk_v2,0x000C,STATUS,RO,dynamic,6,all_idle,All stages are idle,Merges the semantics of v1 STATUS0[6]/[5]
ubwc_dec_apb_reg_blk_v2,0x000C,STATUS,RO,dynamic,7,meta_seen_busy,Metadata stage entered busy during this frame,Merged from v1 STATUS1[5]
ubwc_dec_apb_reg_blk_v2,0x000C,STATUS,RO,dynamic,8,tile_seen_busy,Tile stage entered busy during this frame,Merged from v1 STATUS1[6]
ubwc_dec_apb_reg_blk_v2,0x000C,STATUS,RO,dynamic,9,vivo_seen_busy,VIVO stage entered busy during this frame,Merged from v1 STATUS1[7]
ubwc_dec_apb_reg_blk_v2,0x000C,STATUS,RO,dynamic,10,otf_seen_busy,OTF stage entered busy during this frame,Merged from v1 STATUS1[8]
ubwc_dec_apb_reg_blk_v2,0x000C,STATUS,RO,dynamic,11,meta_done,Metadata stage completed,Merged from v1 STATUS1[0]
ubwc_dec_apb_reg_blk_v2,0x000C,STATUS,RO,dynamic,12,tile_done,Tile stage completed,Merged from v1 STATUS1[1]
ubwc_dec_apb_reg_blk_v2,0x000C,STATUS,RO,dynamic,13,vivo_done,VIVO stage completed,Merged from v1 STATUS1[2]
ubwc_dec_apb_reg_blk_v2,0x000C,STATUS,RO,dynamic,14,otf_done,OTF stage completed,Merged from v1 STATUS1[3]
ubwc_dec_apb_reg_blk_v2,0x0010,TILE_VIVO_CFG0,RW,0x10000000,0,lvl1_bank_swizzle_en,Level-1 bank swizzle enable,
ubwc_dec_apb_reg_blk_v2,0x0010,TILE_VIVO_CFG0,RW,0x10000000,1,lvl2_bank_swizzle_en,Level-2 bank swizzle enable,
ubwc_dec_apb_reg_blk_v2,0x0010,TILE_VIVO_CFG0,RW,0x10000000,2,lvl3_bank_swizzle_en,Level-3 bank swizzle enable,
ubwc_dec_apb_reg_blk_v2,0x0010,TILE_VIVO_CFG0,RW,0x10000000,7:03,highest_bank_bit,Highest bank bit configuration,
ubwc_dec_apb_reg_blk_v2,0x0010,TILE_VIVO_CFG0,RW,0x10000000,8,bank_spread_en,Bank spread enable,
ubwc_dec_apb_reg_blk_v2,0x0010,TILE_VIVO_CFG0,RW,0x10000000,9,four_line_format,4-line tile format enable,
ubwc_dec_apb_reg_blk_v2,0x0010,TILE_VIVO_CFG0,RW,0x10000000,10,is_lossy_rgba_2_1_format,RGBA 2:1 lossy format select,
ubwc_dec_apb_reg_blk_v2,0x0010,TILE_VIVO_CFG0,RW,0x10000000,22:11,pitch,Tile pitch configuration,Organized according to the current v1 effective width of 12 bits
ubwc_dec_apb_reg_blk_v2,0x0010,TILE_VIVO_CFG0,RW,0x10000000,23,ci_input_type,CI input type,
ubwc_dec_apb_reg_blk_v2,0x0010,TILE_VIVO_CFG0,RW,0x10000000,24,ci_sb,CI sideband,Organized assuming current SB_WIDTH=1; split further if SB_WIDTH increases
ubwc_dec_apb_reg_blk_v2,0x0010,TILE_VIVO_CFG0,RW,0x10000000,25,ci_lossy,CI lossy enable,
ubwc_dec_apb_reg_blk_v2,0x0010,TILE_VIVO_CFG0,RW,0x10000000,27:26:00,ci_alpha_mode,CI alpha mode configuration,
ubwc_dec_apb_reg_blk_v2,0x0010,TILE_VIVO_CFG0,RW,0x10000000,28,vivo_ubwc_en,VIVO decode enable,Keeps the v1 default of 1
ubwc_dec_apb_reg_blk_v2,0x0010,TILE_VIVO_CFG0,RW,0x10000000,29,vivo_sreset,VIVO submodule soft reset,
ubwc_dec_apb_reg_blk_v2,0x0014,META_TILE_NUM,RW,0x00000000,15:00,tile_x_numbers,Metadata tile count in the horizontal direction,
ubwc_dec_apb_reg_blk_v2,0x0014,META_TILE_NUM,RW,0x00000000,31:16:00,tile_y_numbers,Metadata tile count in the vertical direction,
ubwc_dec_apb_reg_blk_v2,0x0018,META_BASE_RGUV_LO,RW,0x00000000,31:00:00,meta_rgba_uv_base[31:0],Low 32 bits of the RGBA or UV metadata base address,
ubwc_dec_apb_reg_blk_v2,0x001C,META_BASE_RGUV_HI,RW,0x00000000,31:00:00,meta_rgba_uv_base[63:32],High 32 bits of the RGBA or UV metadata base address,Forms the full address when AXI_AW=64
ubwc_dec_apb_reg_blk_v2,0x0020,META_BASE_Y_LO,RW,0x00000000,31:00:00,meta_y_base[31:0],Low 32 bits of the Y metadata base address,
ubwc_dec_apb_reg_blk_v2,0x0024,META_BASE_Y_HI,RW,0x00000000,31:00:00,meta_y_base[63:32],High 32 bits of the Y metadata base address,Forms the full address when AXI_AW=64
ubwc_dec_apb_reg_blk_v2,0x0028,OTF_CFG0,RW,0x00000000,15:00,img_width,Valid output image width in pixels,
ubwc_dec_apb_reg_blk_v2,0x0028,OTF_CFG0,RW,0x00000000,20:16,format,Output OTF format,
ubwc_dec_apb_reg_blk_v2,0x002C,OTF_CFG1,RW,0x00000000,15:00,h_total,OTF H_TOTAL,
