cnum,label,format,width,height,stored_y,stored_uv,source,case_dir,modes
0001,0001_nv12_1888x1624,nv12,1888,1624,1664,832,enc_from_r7130_pattern_1888x1624_nv12,vrf/vector/enc_from_r7130_pattern_1888x1624_nv12,"enc,dec,loop"
0002,0002_p010_1888x1624,p010,1888,1624,1632,816,enc_from_r7130_pattern_1888x1624_p010,vrf/vector/enc_from_r7130_pattern_1888x1624_p010,"enc,dec,loop"
0003,0003_rgba1010102_1888x1624,rgba1010102,1888,1624,1632,0,enc_from_r7130_pattern_1888x1624_rgba1010102,vrf/vector/enc_from_r7130_pattern_1888x1624_rgba1010102,"enc,dec,loop"
0004,0004_rgba8888_1888x1624,rgba8888,1888,1624,1632,0,enc_from_r7130_pattern_1888x1624_rgba8888,vrf/vector/enc_from_r7130_pattern_1888x1624_rgba8888,"enc,dec,loop"
0005,0005_nv12_2080x1800,nv12,2080,1800,1856,928,enc_from_r7130_pattern_2080x1800_nv12,vrf/vector/enc_from_r7130_pattern_2080x1800_nv12,"enc,dec,loop"
0006,0006_p010_2080x1800,p010,2080,1800,1824,912,enc_from_r7130_pattern_2080x1800_p010,vrf/vector/enc_from_r7130_pattern_2080x1800_p010,"enc,dec,loop"
0007,0007_rgba1010102_2080x1800,rgba1010102,2080,1800,1808,0,enc_from_r7130_pattern_2080x1800_rgba1010102,vrf/vector/enc_from_r7130_pattern_2080x1800_rgba1010102,"enc,dec,loop"
0008,0008_rgba8888_2080x1800,rgba8888,2080,1800,1808,0,enc_from_r7130_pattern_2080x1800_rgba8888,vrf/vector/enc_from_r7130_pattern_2080x1800_rgba8888,"enc,dec,loop"
0009,0009_nv12_256x160,nv12,256,160,192,96,enc_from_r7130_pattern_256x160_nv12,vrf/vector/enc_from_r7130_pattern_256x160_nv12,"enc,dec,loop"
0010,0010_p010_256x160,p010,256,160,160,80,enc_from_r7130_pattern_256x160_p010,vrf/vector/enc_from_r7130_pattern_256x160_p010,"enc,dec,loop"
0011,0011_rgba1010102_256x160,rgba1010102,256,160,160,0,enc_from_r7130_pattern_256x160_rgba1010102,vrf/vector/enc_from_r7130_pattern_256x160_rgba1010102,"enc,dec,loop"
0012,0012_rgba8888_256x160,rgba8888,256,160,160,0,enc_from_r7130_pattern_256x160_rgba8888,vrf/vector/enc_from_r7130_pattern_256x160_rgba8888,"enc,dec,loop"
0013,0013_nv12_720x1548,nv12,720,1548,1600,800,enc_from_r7130_pattern_720x1548_nv12,vrf/vector/enc_from_r7130_pattern_720x1548_nv12,"enc,dec,loop"
0014,0014_p010_720x1548,p010,720,1548,1568,784,enc_from_r7130_pattern_720x1548_p010,vrf/vector/enc_from_r7130_pattern_720x1548_p010,"enc,dec,loop"
0015,0015_rgba1010102_720x1548,rgba1010102,720,1548,1552,0,enc_from_r7130_pattern_720x1548_rgba1010102,vrf/vector/enc_from_r7130_pattern_720x1548_rgba1010102,"enc,dec,loop"
0016,0016_rgba8888_720x1548,rgba8888,720,1548,1552,0,enc_from_r7130_pattern_720x1548_rgba8888,vrf/vector/enc_from_r7130_pattern_720x1548_rgba8888,"enc,dec,loop"
0017,0017_nv12_970x2134,nv12,970,2134,2176,1088,enc_from_r7130_pattern_970x2134_nv12,vrf/vector/enc_from_r7130_pattern_970x2134_nv12,"enc,dec,loop"
0018,0018_p010_970x2134,p010,970,2134,2144,1072,enc_from_r7130_pattern_970x2134_p010,vrf/vector/enc_from_r7130_pattern_970x2134_p010,"enc,dec,loop"
0019,0019_rgba1010102_970x2134,rgba1010102,970,2134,2144,0,enc_from_r7130_pattern_970x2134_rgba1010102,vrf/vector/enc_from_r7130_pattern_970x2134_rgba1010102,"enc,dec,loop"
0020,0020_rgba8888_970x2134,rgba8888,970,2134,2144,0,enc_from_r7130_pattern_970x2134_rgba8888,vrf/vector/enc_from_r7130_pattern_970x2134_rgba8888,"enc,dec,loop"
0021,0021_rgba8888_128x128,rgba8888,128,128,128,0,enc_from_r7130_v5_pattern_128x128_rgba8888,vrf/vector/enc_from_r7130_v5_pattern_128x128_rgba8888,"enc,dec,loop"
0022,0022_rgba8888_144x132,rgba8888,144,132,144,0,enc_from_r7130_v5_pattern_144x132_rgba8888,vrf/vector/enc_from_r7130_v5_pattern_144x132_rgba8888,"enc,dec,loop"
0023,0023_rgba8888_1888x1624,rgba8888,1888,1624,1632,0,enc_from_r7130_v5_pattern_1888x1624_rgba8888,vrf/vector/enc_from_r7130_v5_pattern_1888x1624_rgba8888,"enc,dec,loop"
0024,0024_rgba8888_256x256,rgba8888,256,256,256,0,enc_from_r7130_v5_pattern_256x256_rgba8888,vrf/vector/enc_from_r7130_v5_pattern_256x256_rgba8888,"enc,dec,loop"
0025,0025_rgba8888_720x1548,rgba8888,720,1548,1552,0,enc_from_r7130_v5_pattern_720x1548_rgba8888,vrf/vector/enc_from_r7130_v5_pattern_720x1548_rgba8888,"enc,dec,loop"
0026,0026_rgba8888_970x2134,rgba8888,970,2134,2144,0,enc_from_r7130_v5_pattern_970x2134_rgba8888,vrf/vector/enc_from_r7130_v5_pattern_970x2134_rgba8888,"enc,dec,loop"
0027,0027_nv12_128x128,nv12,128,128,128,64,enc_from_r7928_pattern_128x128_nv12,vrf/vector/enc_from_r7928_pattern_128x128_nv12,"enc,dec,loop"
0028,0028_p010_128x128,p010,128,128,128,64,enc_from_r7928_pattern_128x128_p010,vrf/vector/enc_from_r7928_pattern_128x128_p010,"enc,dec,loop"
0029,0029_rgba1010102_128x128,rgba1010102,128,128,128,0,enc_from_r7928_pattern_128x128_rgba1010102,vrf/vector/enc_from_r7928_pattern_128x128_rgba1010102,"enc,dec,loop"
0030,0030_rgba8888_128x128,rgba8888,128,128,128,0,enc_from_r7928_pattern_128x128_rgba8888,vrf/vector/enc_from_r7928_pattern_128x128_rgba8888,"enc,dec,loop"
0031,0031_nv12_144x132,nv12,144,132,160,96,enc_from_r7928_pattern_144x132_nv12,vrf/vector/enc_from_r7928_pattern_144x132_nv12,"enc,dec,loop"
0032,0032_p010_144x132,p010,144,132,144,80,enc_from_r7928_pattern_144x132_p010,vrf/vector/enc_from_r7928_pattern_144x132_p010,"enc,dec,loop"
0033,0033_rgba1010102_144x132,rgba1010102,144,132,144,0,enc_from_r7928_pattern_144x132_rgba1010102,vrf/vector/enc_from_r7928_pattern_144x132_rgba1010102,"enc,dec,loop"
0034,0034_rgba8888_144x132,rgba8888,144,132,144,0,enc_from_r7928_pattern_144x132_rgba8888,vrf/vector/enc_from_r7928_pattern_144x132_rgba8888,"enc,dec,loop"
0035,0035_nv12_1888x1624,nv12,1888,1624,1632,832,enc_from_r7928_pattern_1888x1624_nv12,vrf/vector/enc_from_r7928_pattern_1888x1624_nv12,"enc,dec,loop"
0036,0036_p010_1888x1624,p010,1888,1624,1632,816,enc_from_r7928_pattern_1888x1624_p010,vrf/vector/enc_from_r7928_pattern_1888x1624_p010,"enc,dec,loop"
0037,0037_rgba1010102_1888x1624,rgba1010102,1888,1624,1632,0,enc_from_r7928_pattern_1888x1624_rgba1010102,vrf/vector/enc_from_r7928_pattern_1888x1624_rgba1010102,"enc,dec,loop"
0038,0038_rgba8888_1888x1624,rgba8888,1888,1624,1632,0,enc_from_r7928_pattern_1888x1624_rgba8888,vrf/vector/enc_from_r7928_pattern_1888x1624_rgba8888,"enc,dec,loop"
0039,0039_nv12_2080x1800,nv12,2080,1800,1824,928,enc_from_r7928_pattern_2080x1800_nv12,vrf/vector/enc_from_r7928_pattern_2080x1800_nv12,"enc,dec,loop"
0040,0040_p010_2080x1800,p010,2080,1800,1808,912,enc_from_r7928_pattern_2080x1800_p010,vrf/vector/enc_from_r7928_pattern_2080x1800_p010,"enc,dec,loop"
0041,0041_rgba1010102_2080x1800,rgba1010102,2080,1800,1808,0,enc_from_r7928_pattern_2080x1800_rgba1010102,vrf/vector/enc_from_r7928_pattern_2080x1800_rgba1010102,"enc,dec,loop"
0042,0042_rgba8888_2080x1800,rgba8888,2080,1800,1808,0,enc_from_r7928_pattern_2080x1800_rgba8888,vrf/vector/enc_from_r7928_pattern_2080x1800_rgba8888,"enc,dec,loop"
0043,0043_nv12_256x256,nv12,256,256,256,128,enc_from_r7928_pattern_256x256_nv12,vrf/vector/enc_from_r7928_pattern_256x256_nv12,"enc,dec,loop"
0044,0044_p010_256x256,p010,256,256,256,128,enc_from_r7928_pattern_256x256_p010,vrf/vector/enc_from_r7928_pattern_256x256_p010,"enc,dec,loop"
0045,0045_rgba1010102_256x256,rgba1010102,256,256,256,0,enc_from_r7928_pattern_256x256_rgba1010102,vrf/vector/enc_from_r7928_pattern_256x256_rgba1010102,"enc,dec,loop"
0046,0046_rgba8888_256x256,rgba8888,256,256,256,0,enc_from_r7928_pattern_256x256_rgba8888,vrf/vector/enc_from_r7928_pattern_256x256_rgba8888,"enc,dec,loop"
0047,0047_nv12_720x1548,nv12,720,1548,1568,800,enc_from_r7928_pattern_720x1548_nv12,vrf/vector/enc_from_r7928_pattern_720x1548_nv12,"enc,dec,loop"
0048,0048_p010_720x1548,p010,720,1548,1552,784,enc_from_r7928_pattern_720x1548_p010,vrf/vector/enc_from_r7928_pattern_720x1548_p010,"enc,dec,loop"
0049,0049_rgba1010102_720x1548,rgba1010102,720,1548,1552,0,enc_from_r7928_pattern_720x1548_rgba1010102,vrf/vector/enc_from_r7928_pattern_720x1548_rgba1010102,"enc,dec,loop"
0050,0050_rgba8888_720x1548,rgba8888,720,1548,1552,0,enc_from_r7928_pattern_720x1548_rgba8888,vrf/vector/enc_from_r7928_pattern_720x1548_rgba8888,"enc,dec,loop"
0051,0051_nv12_970x2134,nv12,970,2134,2144,1088,enc_from_r7928_pattern_970x2134_nv12,vrf/vector/enc_from_r7928_pattern_970x2134_nv12,"enc,dec,loop"
0052,0052_p010_970x2134,p010,970,2134,2144,1072,enc_from_r7928_pattern_970x2134_p010,vrf/vector/enc_from_r7928_pattern_970x2134_p010,"enc,dec,loop"
0053,0053_rgba1010102_970x2134,rgba1010102,970,2134,2144,0,enc_from_r7928_pattern_970x2134_rgba1010102,vrf/vector/enc_from_r7928_pattern_970x2134_rgba1010102,"enc,dec,loop"
0054,0054_rgba8888_970x2134,rgba8888,970,2134,2144,0,enc_from_r7928_pattern_970x2134_rgba8888,vrf/vector/enc_from_r7928_pattern_970x2134_rgba8888,"enc,dec,loop"
0055,0055_nv12_4096x600,nv12,4096,600,640,320,enc_from_mdss_zp_TajMahal_4096x600_nv12,vrf/vector/enc_from_mdss_zp_TajMahal_4096x600_nv12,"enc,dec,loop"
0056,0056_rgba8888_4096x600,rgba8888,4096,600,608,0,enc_from_mdss_zp_TajMahal_4096x600_rgba8888,vrf/vector/enc_from_mdss_zp_TajMahal_4096x600_rgba8888,"enc,dec,loop"
0057,0057_rgba1010102_4096x600,rgba1010102,4096,600,608,0,enc_from_mdss_zp_TajMahal_4096x600_rgba1010102,vrf/vector/enc_from_mdss_zp_TajMahal_4096x600_rgba1010102,"enc,dec,loop"
0058,0058_p010_4096x600,p010,4096,600,608,304,enc_from_mdss_01000007_k_outdoor61_4096x600_g016,vrf/vector/enc_from_mdss_01000007_k_outdoor61_4096x600_g016,"enc,dec,loop"
0059,0059_rgba8888_3840x2016,rgba8888,3840,2016,2016,0,0059_rgba8888_3840x2016,vrf/vector/cases/0059_rgba8888_3840x2016,"enc,dec,loop"
0060,0060_nv12_lossy_enc_2048x1536,nv12,2048,1536,1536,768,NV12_Lossy/encoder,vrf/vector/cases/0060_nv12_lossy_enc_2048x1536,enc
0061,0061_nv12_lossless_4096x600,nv12,4096,600,640,320,16Apr2026/ubwc_nv12_lossless_4096x600,vrf/vector/cases/0061_nv12_lossless_4096x600,"enc,dec,loop"
0062,0062_nv12_lossy_4096x600,nv12,4096,600,608,304,16Apr2026/ubwc_nv12_lossy_4096x600/encoder,vrf/vector/cases/0062_nv12_lossy_4096x600,"enc,dec,loop"
0063,0063_p010_lossless_4096x600,p010,4096,600,608,304,16Apr2026/ubwc_p010_lossless_4096x600,vrf/vector/cases/0063_p010_lossless_4096x600,"enc,dec,loop"
0064,0064_rgba1010102_lossless_4096x600,rgba1010102,4096,600,608,0,16Apr2026/ubwc_rgba1010102_lossless_4096x600,vrf/vector/cases/0064_rgba1010102_lossless_4096x600,"enc,dec,loop"
0065,0065_rgba8888_lossless_4096x600,rgba8888,4096,600,608,0,16Apr2026/ubwc_rgba8888_lossless_4096x600,vrf/vector/cases/0065_rgba8888_lossless_4096x600,"enc,dec,loop"
0066,0066_rgba8888_lossy_21_3840x2016,rgba8888,3840,2016,2016,0,16Apr2026/ubwc_rgba8888_lossy_21_3840x2016/decoder,vrf/vector/cases/0066_rgba8888_lossy_21_3840x2016,"enc,dec,loop"
0067,0067_nv12_lossy_dec_2048x1536,nv12,2048,1536,1536,768,NV12_Lossy/decoder,vrf/vector/cases/0067_nv12_lossy_dec_2048x1536,dec
0068,0068_p010_lossless_ubwc4p0_1920x1080,p010,1920,1080,1088,544,P010_1920x1080_vectors/ubwc4p0,vrf/vector/cases/0068_p010_lossless_ubwc4p0_1920x1080,"enc,dec,loop"
0069,0069_p010_lossless_ubwc7p1_1920x1080,p010,1920,1080,1088,544,P010_1920x1080_vectors/ubwc7p1_new,vrf/vector/cases/0069_p010_lossless_ubwc7p1_1920x1080,"enc,dec,loop"
0070,0070_rgba8888_144x132,rgba8888,144,132,144,0,enc_from_cm_magic_pattern_144x132_rgba8888,vrf/vector/cases/0070_rgba8888_144x132,"enc,dec,loop"
